artworkTitle,artistName,nationality,birthDate,deathDate,dateOfStartOfCreation,dateOfEndOfCreation,medium,dimensions,classification,creditLine,production_id
The Lobsterman (The Doryman),N.C. Wyeth,American,1882,1945,1944,1944,Egg tempera on wood,"H. 23-1/4, W. 47-1/4 inches (58.7 x 120 cm.)",Paintings,"Gift of Amanda K. Berls, 1975",325a1c8f5839
Flower Market,Patricia Cunningham,American,1907,1984,1950,1950,Oil on Masonite,"H. 30, W. 25 inches (76.2 x 63.5 cm.)",Paintings,"Gift of Adele Simpson, 1964",5044f710ff3b
Two Girls,Isabel Bishop,American,1902,1988,1935,1935,Oil and tempera on Masonite,"H. 20, W. 24 inches (50.8 x 61.2 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1936",16ddaee590e2
Route of the Black Diamond,Mark Baum,American,1903,1997,1940,1940,Oil on canvas,"H. 22-1/4, W. 30-1/8 inches (56.5 x 76.5 cm.)",Paintings,"Edith C. Blum Fund, 1983",8b340a8de8e3
Portrait of Jake (Stagger Lee Series #3),Frederick J. Brown,American,1945,2012,1983,1983,Oil on canvas,"H. 38, W. 29 inches (96.5 x 73.7 cm.)",Paintings,"Anonymous Gift and Gift of Megan E. Bowman, in memory of Lilan and Ralph Doane, 1984",60f7554ca262
The Garbage Cart,William P. Chappel,American,1800,1880,1870s,1870s,Oil on slate paper,6 1/8 x 9 1/4 in. (15.6 x 23.5 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",a2f6da75cd19
Design for window,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Gouache, watercolor, and graphite on paper mounted on board in original matt.",Overall: 26 1/4 x 10 9/16 in. (66.7 x 26.8 cm) Overall (Design): 20 7/8 x 5 5/8 in. (53 x 14.3 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",e253f49924a6
West Side Photographer's Shop,Aaron Bohrod,American,1907,1992,1947,1947,Gouache on cardboard,"H. 13-3/4, W. 19-1/4 inches (34.9 x 48.9 cm.)",Drawings,"George A. Hearn Fund, 1948",faf7bb518e4a
The Modern Story of Life: A Civics Diatribe,Roger Brown,American,1941,1997,1982,1982,Oil on canvas,"H. 72-1/4, W. 96 inches (184.2 x 243.8 cm.)",Paintings,"George A. Hearn Fund, 1983",6e5ffc9a5054
Villa La Mouette,Edwin Dickinson,American,1891,1978,1938,1938,Oil on canvas,23 5/8 x 28 3/4in. (60 x 73cm) 27 3/4 x 32 3/4 x 1 in. (70.5 x 83.2 x 2.5 cm) (Frame),Paintings,"George A. Hearn Fund, 1938",5f3160bca5d8
Dikran G. Kelekian,Milton Avery,American,1885,1965,1943,1943,Oil on canvas,"H. 36-1/4, W. 28-1/8 inches (92.1 x 71.4 cm.)",Paintings,"Gift of Nanette B. Kelekian, 1998",010c85b6426c
Figure,Hale Woodruff,American,1900,1980,1967,1967,Oil on canvas,"H. 54, W. 40 inches (134.6 x 101.6 cm.)",Paintings,"George A. Hearn Fund, Arthur Hoppock Hearn Fund and Rogers Fund, 1978",848b8cb51d83
Arthur Bullowa,Fairfield Porter,American,1907,1975,1972,1972,Oil on Masonite,"H. 15-1/2, W. 11-3/4 inches (39.4 x 29.8 cm.)",Paintings,"Bequest of Arthur M. Bullowa, 1993",de4d1e85bc95
Design for church interior with Noli Me Tangere window,Louis Comfort Tiffany,American,1848,1933,1890,1900,"Watercolor, gouache, photograph, collage, pen and colored inks, graphite",Overall: 20 7/8 x 20 3/4in. (53 x 52.7cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",603eae1803a2
In the Connecticut Hills,Ben Foster,American,1852,1926,1914,1914,Oil on canvas,41 7/8 x 47 7/8 in. (106.4 x 121.6 cm),Paintings,"Arthur Hoppock Hearn Fund, 1914",14a2224028b4
Dream Catch,Alfred Levitt,American,1894,2000,1951,1951,Watercolor and gouache on paper,"H. 11, W. 15 inches (27.9 x 38.1 cm.)",Drawings,"Gift of the artist, 1985",9ee3faef9760
Evening,Frank W. Benson,American,1862,1951,1925,1925,"Watercolor, gouache, and graphite on white wove paper laid down to gray woodpulp cardboard",24 7/8 x 20 in. (63.2 x 50.8 cm),Drawings,"Arthur Hoppock Hearn Fund, 1950",382cab7adc54
Stamford Gas Works,Louis Bouch?American,1896,1969,1933,1933,Oil on canvas,"H. 29-1/8, W. 36-1/8 inches (71.4 x 91.8 cm.)",Paintings,"Gift of Mr. and Mrs. E. Powis Jones, 1991",677e1b1701ee,18c976bfdaa5
Augustus Saint-Gaudens,Ellen Emmet Rand,American,1875,1941,1904,1904,Oil on canvas,38 7/8 x 30 in. (98.7 x 76.2 cm),Paintings,"Rogers Fund, 1908",8df46aaab015
Sailor's Holiday,Robert Brackman,American,1898,1980,1945,1945,Oil on canvas,"H. 50, W. 39-3/4 inches (127 x 101 cm.)",Paintings,"George A. Hearn Fund, 1950",a8d685941f9d
"Red, Ochre and White",Fritz Bultman,American,1919,1985,1952,1952,Gouache and graphite on paper,"H. 23, W. 29 inches (58.4 x 73.7 cm.)",Drawings,"Gift of Estate of Fritz Bultman, 1994",471b8bba8ea5
"Farm House, Sanary-sur-Mer",Edwin Dickinson,American,1891,1978,1938,1938,Oil on canvas,23 7/8 x 28 7/8in. (60.6 x 73.3cm) 31 1/2 x 36 1/4 x 1 1/2 in. (80 x 92.1 x 3.8 cm) (Frame),Paintings,"Gift of Betty Stebman, 1999",996db2670fc4
Portrait of Ellen,William Scott Pyle,American,1888,1938,1916,1916,Oil on canvas,"H. 52, W. 34-3/4 inches (132.1 x 88.3 cm.)",Paintings,"Gift of Mrs. W. Scott Pyle, 1942",4600c2ba192b
The Thorn,Lee Gatch,American,1902,1968,1953,1953,Oil on canvas,"H. 31-1/2, W. 39-1/2 inches (80 x 100.3 cm.)",Paintings,"The Edward Joseph Gallagher III Memorial Collection, Gift of Edward J. Gallagher Jr., 1954",a8577b3ff095
John R. Murray,Gilbert Stuart,American,1755,1828,1800,1800,Oil on canvas,29 3/8 x 24 1/8 in. (74.6 x 61.3 cm),Paintings,"Gift of Mrs. Walter Oakman and Miss Helen L. Hubbard, 1950",58221499aac1
1950-E,Clyfford Still,American,1904,1980,1950,1950,Oil on canvas,"H. 91-1/4, W. 69 inches (231.8 x 175.3 cm.)",Paintings,"Gift of Mrs. Clyfford Still, 1986",7890ce4cdb62
Partitions,Theodoros Stamos,American,1922,1997,1947,1947,"Watercolor, gouache, and ink on paper","H. 16, W. 12 inches (40.6 x 30.5 cm.)",Drawings,"Anonymous Gift, in memory of Mr. and Mrs. Theodoros Stamatelos, 1991",3dbfc1ac79cf
Design for micro-mosaic ceiling or wall decoration,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Watercolor, gouache, and ink on artist's board",28 13/16 x 21 1/4 in. (73.2 x 54 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",47f927c20bdb
Lake of Orta,J. Carroll Beckwith,American,1852,1917,1910,1910,Oil on wood,13 3/4 x 10 1/2 in. (34.9 x 26.7 cm),Paintings,"Bequest of Susan Dwight Bliss, 1966",c20ef236d458
Landscape,William Morris Hunt,American,1824,1879,1852,1853,Oil on pressboard mounted on wood,12 1/2 x 19 1/2 in. (31.8 x 49.5 cm),Paintings,"Rogers Fund, 1906",a5a8de654101
"Autumn Study, View over Hanging Rock, Newport, R.I.",John La Farge,American,1835,1910,1868,1868,Oil on canvas,30 1/4 x 25 1/4 in. (76.8 x 64.1 cm),Paintings,"Gift of Dr. Frank Jewett Mather Jr., 1949",deae5f486e5a
Relation 201,Robert Goodnough,American,1917,2010,1968,1968,Oil on canvas,"H. 20, W. 20 inches (50.8 x 50.8 cm.)",Paintings,"Anonymous Gift, 1969",15428364f726
Yellow Sweater,Leon Karp,American,1903,1951,1947,1947,Oil on canvas,"H. 40-1/8, W. 30-1/4 inches (101.6 x 76.8 cm.)",Paintings,"Gift of Friends of the Artist, 1952",8469b73d62fe
Mountain View at Bormio (from Switzerland 1869 Sketchbook),John Singer Sargent,American,1856,1925,1869,1869,"Watercolor, gouache, and graphite on off-white wove paper",7 3/4 x 11 3/4 in. (19.7 x 29.8 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",1ae27faab466
"Mrs. John Sevier, Jr. (Rebecca Richards)",James Peale,American,1749,1831,1794,1794,Watercolor on ivory in gold locket; hair reserve verso,2 1/2 x 1 29/32 in. (6.4 x 4.8 cm),Paintings,"Gift of Margaret S. Comeaux, 1974",8f04d8b299ed
Paris Night,Robert Henri,American,1865,1929,1898,1898,Oil on canvas,25 3/4 x 32 in. (65.4 x 81.3 cm),Paintings,"Arthur Hoppock Hearn Fund, 1963",1904ab9640e7
Isotope,Walter Murch,American,1907,1967,1950,1950,Oil on canvas,"H. 19-3/4, W. 19-1/4 inches (50.2 x 48.9 cm.)",Paintings,"George A. Hearn Fund, 1952",1095f789b407
"Angels, Mosaic, Palatine Chapel, Palermo",John Singer Sargent,American,1856,1925,1897,1903,"Watercolor, gouache, and graphite on off-white wove paper",9 13/16 x 13 15/16 in. (24.9 x 35.4 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",d10169353b76
Sunrise on South Main Street,Fairfield Porter,American,1907,1975,1973,1973,Oil on canvas,43 x 55in. (109.2 x 139.7cm) 45 5/8 x 57 5/8 x 2 5/8 in. (115.9 x 146.4 x 6.7 cm) (Frame),Paintings,"Hugo Kastor Fund, 1976",7b7984b8df5e
John Inman,Henry Inman,American,1801,1846,1830,1830,Watercolor on ivory,3 1/4 x 2 5/8 in. (8.4 x 6.8 cm),Paintings,"Gift of Gloria Manney, 2006",df7ae96166f9
Orange Branch,Formerly attributed to John La Farge,American,1835,1910,1883,1883,Oil on canvas,54 5/8 x 11 5/8 in. (138.4 x 29.5 cm),Paintings,"Gift of J. William Middendorf II, 1966",5ced0921daab
"Which Was, and Is, and Is to Come",Cleve Gray,American,1918,2004,1953,1953,Oil on canvas,"H. 57-1/8, W. 56-1/8 inches (145.1 x 142.6 cm.)",Paintings,"Gift of Mrs. William R. Grace, in memory of Miss Louise N. Grace, 1954",949da3c45857
Bird in the Spirit,Morris Graves,American,1910,2001,1943,1943,Gouache on paper,24 x 30in. (61 x 76.2cm),Drawings,"Arthur Hoppock Hearn Fund, 1950",ec2361a1124a
"Seventh Avenue and 16th Street, New York",Mark Baum,American,1903,1997,1932,1932,Oil on canvas,"H. 30, W. 28 inches (76.2 x 71.1 cm.)",Paintings,"Edith C. Blum Fund, 1983",69c5cddae198
Acropolis,Loren MacIver,American,1909,1998,1956,1956,Oil on canvas,42 x 74in. (106.7 x 188cm) 43 x 74 7/8 x 1 1/2 in. (109.2 x 190.2 x 3.8 cm) (Frame),Paintings,"George A. Hearn Fund, 1956",efd9764fb175
Moonlight over Myrtle,Mitchell Siporin,American,1910,1976,1949,1949,Oil on canvas,"H. 24, W. 30 inches (61.1 x 76.2 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1950",fa126fdeb4cb
[Biloxi Shack],Walker Evans,American,1903,1975,1945,1961,Tempera on panel,40.6 x 50.8 cm (16 x 20 in. ),Paintings,"Walker Evans Archive, 1994",1dbdd3b17c04
A River Glimpse,Thomas Doughty,American,1793,1856,1843,1850,Oil on canvas,30 1/4 x 25 in. (76.8 x 63.5 cm),Paintings,"Gift of Samuel P. Avery, 1895",29dc329db244
Rising Green,Lee Krasner,American,1908,1984,1972,1972,Oil on canvas,"H. 82, W. 69 inches (208.3 x 175.3 cm.)",Paintings,"Gift of Mr. and Mrs. Eugene Victor Thaw, 1983",325ef5fda062
Design for window,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Watercolor, gouache, and graphite on paper mounted on board in original matt",Overall: 19 1/4 x 9 in. (48.9 x 22.9 cm) Other (Design): 13 9/16 x 3 1/16 in. (34.4 x 7.8 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",c6ea15d827ad
Beach at High Tide,Molly Luce,American,1896,1986,1933,1933,Oil on canvas,"H. 24, W. 30 inches (61.2 x 76.2 cm.)",Paintings,"George A. Hearn Fund, 1934",03f3a80393e8
Hearth,Loren MacIver,American,1909,1998,1957,1957,Oil and plaster on Masonite,"H. 49-5/8, W. 34-5/8 inches (126 x 87.9 cm.)",Paintings,"Purchase, Maria-Gaetana Matisse Gift, 1993",99ae3e0de536
Elie Williams,Charles Willson Peale,American,1741,1827,1789,1789,Oil on canvas,36 1/4 x 27 5/16 in. (92.1 x 69.4 cm),Paintings,"Gift of I. Austin Kelly III, 1967",07fa657a8bf0
Seashell and Map,David Smith,American,1906,1965,1933,1933,Oil on canvas,26 x 36 in. (66 x 91.4 cm),Paintings,"Purchase, Lila Acheson Wallace Gift, 1983",dcd436786681
Kiesler and Wife,Will Barnet,American,1911,2012,1963,1965,Oil on canvas,48 x 71 1/2in. (121.9 x 181.6cm) 49 3/8 x 72 7/8 x 2 in. (125.4 x 185.1 x 5.1 cm) (Frame),Paintings,"Purchase, Roy R. and Marie S. Neuberger Foundation Inc. Gift and George A. Hearn Fund, 1966",29bc74a93b78
Design for wall-mounted lantern,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Watercolor, gouache, crayon, and black ink on tissue paper mounted on heavier paper.",Overall: 22 x 14 15/16 in. (55.9 x 37.9 cm) Other (Design): 16 5/8 x 11 15/16 in. (42.2 x 30.3 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",7379009c551f
Saddle Horse in Farm Yard,Winslow Homer,American,1836,1910,1870,1875,Oil on wood,12 3/4 x 15 7/8 in. (32.4 x 40.3 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",bdf1631db5f8
"Twilight on the Sound, Darien, Connecticut",John Frederick Kensett,American,1816,1872,1872,1872,Oil on canvas,11 1/2 x 24 1/2 in. (29.2 x 62.2 cm),Paintings,"Gift of Thomas Kensett, 1874",45cc0b884846
Report from Rockport,Stuart Davis,American,1892,1964,1940,1940,Oil on canvas,"H. 24, W. 30 in. (61 x 76.2 cm)",Paintings,"Edith and Milton Lowenthal Collection, Bequest of Edith Abrahamson Lowenthal, 1991",1f005c2a3d31
Diana,Lee Gatch,American,1902,1968,1942,1942,Oil on canvas on board,"H. 14-1/4, W. 9-1/4 inches (36.2 x 23.2 cm.)",Paintings,"Gift of Mr. and Mrs. Benjamin Weiss, 1979",48bbbcfd78c5
"Jungfrau (from ""Splendid Mountain Watercolours"" Sketchbook)",John Singer Sargent,American,1856,1925,1870,1870,"Watercolor, gouache, and graphite on pale blue wove paper",16 x 10 7/8 in. (40.6 x 27.6 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",42c267a4f59f
"Winter, Monhegan Island",Rockwell Kent,American,1882,1971,1907,1907,Oil on canvas,"H. 33-7/8, W. 44 inches (86 x 111.8 cm.)",Paintings,"George A. Hearn Fund, 1917",4275c2aed945
The New Bonnet,Eastman Johnson,American,1824,1906,1876,1876,Oil on academy board,20 3/4 x 27 in. (52.7 x 68.6 cm),Paintings,"Bequest of Collis P. Huntington, 1900",c98cc9263f52
Design for single light window,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Watercolor, gouache, and graphite on light-weight off-white wove paper mounted on warm grey paper-faced board on warm grey secondary support",Overall: 24 5/8 x 12 3/4 in. (62.5 x 32.4 cm) Other (Design): 18 x 4 1/16 in. (45.8 x 10.3 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",5c133dfdd917
Wisconsin Landscape,John Steuart Curry,American,1897,1946,1938,1939,Oil on canvas,42 x 84 in. (106.7 x 213.4 cm),Paintings,"George A. Hearn Fund, 1942",12eb205e0755
"Amory S. Carhart, Jr.",Ellen Emmet Rand,American,1875,1941,1903,1903,Oil on canvas,64 1/2 x 32 1/4 in. (163.8 x 81.9 cm),Paintings,"Gift of Mrs. George S. Amory, 1964",171a95aa0382
"Cliffs at Deir el Bahri, Egypt",John Singer Sargent,American,1856,1925,1890,1891,Oil on canvas,13 3/4 x 24 3/4 in. (34.9 x 62.9 cm),Paintings,"Gift of Mrs. Francis Ormond, 1950",330a56121af8
Choosing of the Arrow,Henry Kirke Brown,American,1814,1886,1849,1849,Bronze,22 x 11 3/8 x 5 5/8 in. (55.9 x 28.9 x 14.3 cm),Paintings,"Purchase, Mia R. Taradash and Dorothy Schwartz Gifts, and Morris K. Jesup and Rogers Funds, 2005",85b72879eb0b
"Design for ""Angels of Praise"" window",Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Watercolor, gouache, and ink on paper mounted on board in original matt",Overall: 21 5/8 x 11 1/16 in. (54.9 x 28.1 cm) Design: 17 13/16 x 5 15/16 in. (45.2 x 15.1 cm),Drawings,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1953",37804e2b5423
John,Robert Henri,American,1865,1929,1908,1908,Oil on canvas,24 x 20 1/8 in. (61 x 51.1 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",538df6a5ba8a
Elaine de Kooning (1920-1989),Fairfield Porter,American,1907,1975,1957,1957,Oil on canvas,"H. 62, W. 41 inches (157.5 x 134.1 cm.)",Paintings,"Gift of Mrs. Fairfield Porter, 1978",18ac3cdf6f89
Meeting (The Three Graces),Manierre Dawson,American,1887,1969,1912,1912,Oil on canvas,58 1/8 x 48 in. (147.6 x 121.9 cm),Paintings,"Gift of Myra Bairstow and Lewis J. Obi, M.D., 2007",945b70970b5f
Mrs. Joseph Donaldson (Frances Johnston),Charles Willson Peale,American,1741,1827,1776,1776,Watercolor on ivory in gold locket,1 1/2 x 1 3/16 in. (3.8 x 3.1 cm),Paintings,"Gift of Gloria Manney, 2006",df568d6930d0
For the Little One,William Merritt Chase,American,1849,1916,1896,1896,Oil on canvas,40 x 35 1/4 in. (101.6 x 89.5 cm),Paintings,1917,4042b2badefa
Morning Light,Eugene Speicher,American,1883,1962,1907,1907,Oil on canvas,"H. 27-1/4, W. 34-1/8 inches (69.2 x 86.7 cm.)",Paintings,"George A. Hearn Fund, 1912",0de536059163
Mother and Child with a Rose Scarf,Mary Cassatt,American,1844,1926,1908,1908,Oil on canvas,46 x 35 3/4 in. (116.8 x 89.5 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",633db10fd05d
Bern Series,Robert Natkin,American,1930,2010,1983,1983,Acrylic on canvas,"H. 48, W. 96 inches (121.9 x 243.8 cm.)",Paintings,"Gift of Mrs. Aaron M. Weitzenhoffer, 1983",42725a8bb557
Design for hanging lantern,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Watercolor, gouache, colored pencil, and graphite on tissue mounted on heavy paper.",Overall: 22 3/16 x 14 15/16 in. (56.3 x 37.9 cm) Other (Design): 18 9/16 x 11 13/16 in. (47.1 x 30 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",cfd901c9fbd9
Bringing Down Marble from the Quarries to Carrara,John Singer Sargent,American,1856,1925,1911,1911,Oil on canvas,28 1/8 x 36 1/8 in. (71.4 x 91.8 cm),Paintings,"Harris Brisbane Dick Fund, 1917",145fb59fc265
Gabriel V. Ludlow,John Rubens Smith,American,1775,1849,1816,1816,"Watercolor, gouache, and graphite on off-white wove paper, backed with laid paper and mounted on a wood strainer",17 13/16 x 9 7/8 in. (45.2 x 25.1 cm),Drawings,"Bequest of Maria P. James, 1910",e3e7d1ede017
Major John Biddle,Thomas Sully,American,1783,1872,1818,1818,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),Paintings,"Gift of General John Biddle, 1924",27667444d363
The Green Salon,Walter Gay,American,1856,1937,1912,1912,Oil on canvas,25 1/2 x 21 1/2 in. (64.8 x 54.6 cm),Paintings,"Rogers Fund, 1912",c6a18bd38baa
Shanghai Gestures,R.B. Kitaj,American,1932,2007,1968,1968,Oil on canvas,"H. 23-7/8, W. 47-3/4 inches (60.6 x 106 cm.)",Paintings,"Gift of Susan and Alan Patricof, 1982",88ee0e7e2dee
Office in a Small City,Edward Hopper,American,1882,1967,1953,1953,Oil on canvas,"H. 28, W. 40 inches (71.1 x 101.6 cm.)",Paintings,"George A. Hearn Fund, 1953",beb9859079b1
"Stony Clove, June 26, 1870 (from Sketchbook)",Jervis McEntee,American,1828,1891,1870,1870,"Graphite, white gouache, on blue paper",4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982",72a887e9383c
Anxious Hookers,George McNeil,American,1908,1995,1984,1984,Acrylic on canvas,"H. 64, W. 78 inches (162.6 x 198.1 cm.)",Paintings,"Gift of Steven M. Jacobson, 1986",3fde06f2d4f5
October in the Marshes,John Frederick Kensett,American,1816,1872,1872,1872,Oil on canvas,18 1/2 x 30 1/2 in. (47 x 77.5 cm),Paintings,"Gift of Thomas Kensett, 1874",9d40eaea5434
The Thinker: Portrait of Louis N. Kenton,Thomas Eakins,American,1844,1916,1900,1900,Oil on canvas,82 x 42 in. (208.3 x 106.7 cm),Paintings,"John Stewart Kennedy Fund, 1917",251d3e42fed1
Landscape,Robert Goodnough,American,1917,2010,1952,1952,Oil on canvas,19 7/8 x 37 3/4 in. (50.5 x 95.9 cm),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006",c78c9ece599b
Passing off of the Storm,John Frederick Kensett,American,1816,1872,1872,1872,Oil on canvas,11 3/8 x 24 1/2 in. (28.9 x 62.2 cm),Paintings,"Gift of Thomas Kensett, 1874",d09027098870
Beach No. 3,Maurice Brazil Prendergast,American,1858,1924,1913,1913,Oil on canvas,18 7/8 x 29 7/8 in. (47.9 x 75.9 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",4043bc24249a
Annie Sargent Jewett,Maurice Brazil Prendergast,American,1858,1924,1905,1905,Oil on canvas,30 x 19 3/8 in. (76.2 x 49.2 cm),Paintings,"Bequest of Esther Williams McKinney, 1970",20b98d6389f6
Reapers Resting in a Wheat Field,John Singer Sargent,American,1856,1925,1885,1885,Oil on canvas,28 x 36 in. (71.1 x 91.4 cm),Paintings,"Gift of Mrs. Francis Ormond, 1950",eef0deda324c
William C. Prime,Daniel Huntington,American,1816,1906,1892,1892,Oil on canvas,54 1/4 x 44 in. (137.8 x 111.8 cm),Paintings,"Gift of the Trustees, 1892",4b287571a42e
Shells and Things,Marguerite Zorach,American,1887,1968,1936,1936,Oil on canvas,"H. 20, W. 24 inches (50.8 x 61 cm.)",Paintings,"George A. Hearn Fund, 1936",ce1ae81cc78e
The Forest of Arden,Albert Pinkham Ryder,American,1847,1917,1888,"97?,reworked1908",Oil on canvas,19 x 15 in. (48.3 x 38.1 cm),Paintings,"Bequest of Stephen C. Clark, 1960",5c43da673e93
Greek Girls Bathing,Elihu Vedder,American,1836,1923,1872,1877,Oil on canvas,18 1/4 x 58 3/4 in. (46.4 x 149.2 cm),Paintings,"Arthur Hoppock Hearn Fund, 1958",df6e1e0e90cd
The Painter,Richard Blow,American,1904,1983,1938,1938,Oil on Masonite,"H. 28, W. 32 inches (71.1 x 81.3 cm.)",Paintings,"George A. Hearn Fund, 1938",94a3465bf4c4
The Blue Platter,Karl Knaths,American,1891,1971,1947,1947,Oil on canvas,20 1/4 x 50 1/4 in. (51.4 x 127.6 cm),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006",6aaba125f5ed
"Universalist Church, Provincetown",Niles Spencer,American,1893,1952,1926,1928,Oil and graphite on canvas,"H. 26-1/8, W. 20 inches (66.4 x 50.8 cm.)",Paintings,"Gift of Carl D. Lobell, 1995",baea2a91b5c8
Roses,George Cochran Lambdin,American,1830,1896,1878,1878,Oil on wood,24 x 11 7/8 in. (61 x 30.2 cm),Paintings,"Gift of Mrs. Manfred P. Welcher, 1918",e1d475f036fb
The Seven Deadly Sins: Anger,Paul Cadmus,American,1904,1999,1947,1947,Egg tempera on Masonite,"H. 24, W. 11-3/4 inches (61 x 29.8 cm.)",Paintings,"Gift of Lincoln Kirstein, 1993",fc91aabc397b
